Selection	Association Name	Association Type	Significance
Cardiovascular Diseases	Cholesterol	Drug	0.000002225048199134383
Cardiovascular Diseases	Menogaril	Drug	0.000007680263085492278
Cardiovascular Diseases	Therapeutic Insulin	Drug	0.000012304048512509959
Cardiovascular Diseases	Glucose	Drug	0.000014984466500774934
Cardiovascular Diseases	Homocysteine	Drug	0.000015360916654112938
Cardiovascular Diseases	Ezetimibe	Drug	0.000024570426827758518
Cardiovascular Diseases	Aspirin	Drug	0.000026015487706451234
Cardiovascular Diseases	Nesiritide	Drug	0.00003812696958968242
Cardiovascular Diseases	Salicylic Acid	Drug	0.00004197211623286714
Cardiovascular Diseases	epicatechin gallate	Drug	0.000046576798215397374
Cardiovascular Diseases	Atorvastatin	Drug	0.000047364440889381545
Cardiovascular Diseases	Evolocumab	Drug	0.000052862039870383867
Cardiovascular Diseases	Clopidogrel	Drug	0.00005340090048279427
Cardiovascular Diseases	Arginine/Omega-3 Fatty Acids/Nucleotides Oral Supplement	Drug	0.000057037332406367103
Cardiovascular Diseases	Thyroglobulin	Drug	0.00006005567381329099
Cardiovascular Diseases	Alirocumab	Drug	0.00006608711615466785
Cardiovascular Diseases	Asymmetric Dimethylarginine	Drug	0.0000697370163200351
Cardiovascular Diseases	Rosuvastatin	Drug	0.00006993135523968822
Cardiovascular Diseases	trimethyloxamine	Drug	0.00008331918374506732
Cardiovascular Diseases	Metformin	Drug	0.00008686934208984851
Cardiovascular Diseases	Empagliflozin	Drug	0.00009091648479758
Cardiovascular Diseases	Tenivastatin	Drug	0.00009188174870623327
Cardiovascular Diseases	Ticlopidine	Drug	0.00009349300564531814
Cardiovascular Diseases	Nitric Oxide	Drug	0.00009422475339741864
Cardiovascular Diseases	Omega-3 Fatty Acid	Drug	0.00009470884557328296
Cardiovascular Diseases	Inclisiran	Drug	0.00009777486974416981
Cardiovascular Diseases	Low-Dose Aspirin	Drug	0.00010876388777936646
Cardiovascular Diseases	Pravastatin	Drug	0.00011412473543503264
Cardiovascular Diseases	Bempedoic Acid	Drug	0.00011959627977363587
Cardiovascular Diseases	ERGOCALCIFEROL	Drug	0.00012900712580267459
Cardiovascular Diseases	Ramipril	Drug	0.00013468402918360387
Cardiovascular Diseases	Fibroblast Growth Factor-23	Drug	0.0001566906095047342
Cardiovascular Diseases	Recombinant Interleukin-6	Drug	0.00017166670976257083
Cardiovascular Diseases	ACE Inhibitor	Drug	0.00017722734315953954
Cardiovascular Diseases	Polyunsaturated Fatty Acid	Drug	0.00018156297125349448
Cardiovascular Diseases	Ethanol	Drug	0.00018984218278900883
Cardiovascular Diseases	Canagliflozin	Drug	0.0001925997523630371
Cardiovascular Diseases	trimethylamine	Drug	0.0001949220733516933
Cardiovascular Diseases	Torcetrapib	Drug	0.0002021920669071406
Cardiovascular Diseases	Eicosapentaenoic Acid	Drug	0.0002073859683950531
Cardiovascular Diseases	Semaglutide	Drug	0.00023331964075429625
Cardiovascular Diseases	Lomitapide	Drug	0.00023647730951610027
Cardiovascular Diseases	Niacin	Drug	0.00023775921798550393
Cardiovascular Diseases	Telmisartan	Drug	0.00023860428255290182
Cardiovascular Diseases	Amlodipine	Drug	0.00024165255646502138
Cardiovascular Diseases	Pioglitazone	Drug	0.00024875053823153085
Cardiovascular Diseases	Liraglutide	Drug	0.00024891517623328133
Cardiovascular Diseases	25-hydroxyvitamin D	Drug	0.0002580861300589782
Cardiovascular Diseases	Mipomersen	Drug	0.000272778309298064
Cardiovascular Diseases	Fenofibrate	Drug	0.0002756490043166598
Cardiovascular Diseases	Doconexent	Drug	0.00027920970916071945
Cardiovascular Diseases	Diethylstilbestrol	Drug	0.0002888982378599294
Cardiovascular Diseases	Dapagliflozin	Drug	0.000290095767866654
Cardiovascular Diseases	Serum Albumin, Human	Drug	0.00029932869385066455
Cardiovascular Diseases	Anacetrapib	Drug	0.00029968422707596576
Cardiovascular Diseases	Calcifediol	Drug	0.0003039879104249296
Cardiovascular Diseases	Folic Acid	Drug	0.0003082926184623864
Cardiovascular Diseases	Rosiglitazone	Drug	0.00031115483748219005
Cardiovascular Diseases	Evinacumab	Drug	0.0003304471591013388
Cardiovascular Diseases	Ticagrelor	Drug	0.0003381990369886803
Cardiovascular Diseases	Fluvastatin	Drug	0.00033837865398896115
Cardiovascular Diseases	Indican	Drug	0.0003404508607851613
Cardiovascular Diseases	Rofecoxib	Drug	0.0003414038711724782
Cardiovascular Diseases	SGLT2 Inhibitor	Drug	0.0003560179874845789
Cardiovascular Diseases	Aldosterone	Drug	0.0003571845692815232
Cardiovascular Diseases	Fish Oil	Drug	0.0003638354731914021
Cardiovascular Diseases	Vitamin E	Drug	0.00037257013736461054
Cardiovascular Diseases	Carboxyamidotriazole Orotate	Drug	0.0003742615379884473
Cardiovascular Diseases	Symmetric Dimethylarginine	Drug	0.0003755884088000554
Cardiovascular Diseases	Furosemide	Drug	0.00037606724691373366
Cardiovascular Diseases	Resveratrol	Drug	0.000394511774075736
Cardiovascular Diseases	Dalcetrapib	Drug	0.0003974481274421112
Cardiovascular Diseases	Valsartan	Drug	0.0004049196313074504
Cardiovascular Diseases	Prasugrel	Drug	0.0004055279732624531
Cardiovascular Diseases	B Vitamin	Drug	0.0004179923807856536
Cardiovascular Diseases	Pelacarsen	Drug	0.0004249334280144454
Cardiovascular Diseases	Evacetrapib	Drug	0.000442148597834796
Cardiovascular Diseases	Apabetalone	Drug	0.00044694629446432883
Cardiovascular Diseases	Perindopril	Drug	0.00045063842456115994
Cardiovascular Diseases	Vitamin B Complex	Drug	0.00045310729368134927
Cardiovascular Diseases	Pitavastatin	Drug	0.0004615508995522798
Cardiovascular Diseases	Isoflavone	Drug	0.0004694829306808032
Cardiovascular Diseases	Charcoal	Drug	0.0004837593566633634
Cardiovascular Diseases	Pitavastatin	Drug	0.00048501248605904663
Cardiovascular Diseases	Dobutamine	Drug	0.00048726684773259065
Cardiovascular Diseases	Olpasiran	Drug	0.000499555212785418
Cardiovascular Diseases	Coagulation Factor VII Human	Drug	0.0005055707575227908
Cardiovascular Diseases	Phytochemical	Drug	0.0005134349252173262
Cardiovascular Diseases	Losartan	Drug	0.0005368622640662881
Cardiovascular Diseases	Saxagliptin	Drug	0.0005496478937864141
Cardiovascular Diseases	Oral Contraceptive	Drug	0.0005701594790176842
Cardiovascular Diseases	Abciximab	Drug	0.0005710801116023548
Cardiovascular Diseases	Sirolimus	Drug	0.0005782809288286139
Cardiovascular Diseases	Sevelamer	Drug	0.0006060379829247047
Cardiovascular Diseases	fibric acid	Drug	0.0006307598837958165
Cardiovascular Diseases	beta Carotene	Drug	0.0006371590120095121
