Selection	Association Name	Association Type	Significance
Parathyroid Neoplasms	Technetium Tc 99m Sestamibi	Drug	9.922829148146385e-7
Parathyroid Neoplasms	Recombinant Parathyroid Hormone	Drug	0.0000011803220612007784
Parathyroid Neoplasms	Fluorine F 18 Fluorocholine	Drug	0.000024326158658795205
Parathyroid Neoplasms	Sodium Pertechnetate Tc 99m	Drug	0.000036643284596961694
Parathyroid Neoplasms	Cinacalcet	Drug	0.00003766865209237081
Parathyroid Neoplasms	Calcitonin	Drug	0.00015102450548072982
Parathyroid Neoplasms	Technetium TC-99m	Drug	0.00017088533326889635
Parathyroid Neoplasms	thallium chloride	Drug	0.00017649453537341335
Parathyroid Neoplasms	Technetium Tc-99m Tetrofosmin	Drug	0.00018905187234542339
Parathyroid Neoplasms	ERGOCALCIFEROL	Drug	0.00019504604048844868
Parathyroid Neoplasms	Methionine C 11	Drug	0.00026799913353004455
Parathyroid Neoplasms	Phosphates	Drug	0.000645243553685717
Parathyroid Neoplasms	Recombinant Parathyroid Hormone-Related Protein	Drug	0.0007568195921805267
Parathyroid Neoplasms	Evocalcet	Drug	0.000789085692077295
Parathyroid Neoplasms	Selenomethionine Se-75	Drug	0.0008049607349513123
Parathyroid Neoplasms	Calcitriol	Drug	0.0009826728892757793
Parathyroid Neoplasms	Calcifediol	Drug	0.0011645998155395134
Parathyroid Neoplasms	Plicamycin	Drug	0.001216211231210156
Parathyroid Neoplasms	Denosumab	Drug	0.001385069535161775
Parathyroid Neoplasms	Dihydrotachysterol	Drug	0.0014011046194920742
Parathyroid Neoplasms	Technetium Tc 99m Medronate	Drug	0.0014510984512694353
Parathyroid Neoplasms	25-hydroxyvitamin D	Drug	0.001487232564620913
Parathyroid Neoplasms	Sodium Iodide I-123	Drug	0.0015149421563892247
Parathyroid Neoplasms	2-methoxyisobutylisonitrile	Drug	0.0016038000384396725
Parathyroid Neoplasms	Alfacalcidol	Drug	0.0016248202178173457
Parathyroid Neoplasms	Peptichemio	Drug	0.0016559927241395502
Parathyroid Neoplasms	Pentoxifylline	Drug	0.0021116821372669514
Parathyroid Neoplasms	Abamectin	Drug	0.0025518566611117894
Parathyroid Neoplasms	Carbon C 11 Choline	Drug	0.002702080995201091
Parathyroid Neoplasms	Elcatonin	Drug	0.0027046997094826186
Parathyroid Neoplasms	monoethylcholine	Drug	0.0028028502986485585
Parathyroid Neoplasms	Selenomethionine	Drug	0.002821039434369201
Parathyroid Neoplasms	Pamidronate	Drug	0.002928705672778896
Parathyroid Neoplasms	Potassium Perchlorate	Drug	0.0032404301321321176
Parathyroid Neoplasms	Methylene Blue	Drug	0.003682320756005364
Parathyroid Neoplasms	Teniposide	Drug	0.003864090538404355
Parathyroid Neoplasms	Menogaril	Drug	0.0038744826211990985
Parathyroid Neoplasms	Ronacaleret	Drug	0.0041184230162066345
Parathyroid Neoplasms	Calcium Gluconate	Drug	0.004425804055575766
Parathyroid Neoplasms	Arginine/Omega-3 Fatty Acids/Nucleotides Oral Supplement	Drug	0.005156843629520024
Parathyroid Neoplasms	Iodine I-131	Drug	0.005799805350130659
Parathyroid Neoplasms	Fluorodeoxyglucose F18	Drug	0.005836262842539127
Parathyroid Neoplasms	Gallium Ga 68-DOTATATE	Drug	0.005929612513482057
Parathyroid Neoplasms	Octreotide	Drug	0.006107506870978071
Parathyroid Neoplasms	parathyroid hormone-related protein (1-34)	Drug	0.0064287575467828215
Parathyroid Neoplasms	Hydroxyproline	Drug	0.006463666307200931
Parathyroid Neoplasms	Cholecalciferol	Drug	0.006836058782260784
Parathyroid Neoplasms	Zoledronic Acid	Drug	0.007058522550329899
Parathyroid Neoplasms	Furosemide	Drug	0.007065591053680171
Parathyroid Neoplasms	Pentetreotide	Drug	0.008414222115188146
Parathyroid Neoplasms	Catechin	Drug	0.009017617856409315
Parathyroid Neoplasms	Gallium Ga 68-DOTANOC	Drug	0.009123732884743236
Parathyroid Neoplasms	3-Iodobenzylguanidine	Drug	0.009206503039477587
Parathyroid Neoplasms	Etelcalcetide	Drug	0.009302991550369809
Parathyroid Neoplasms	Somatostatin	Drug	0.009571227944152992
Parathyroid Neoplasms	Spartalizumab	Drug	0.009816722600151356
Parathyroid Neoplasms	Pentagastrin	Drug	0.010306312681934531
Parathyroid Neoplasms	Fibroblast Growth Factor-23	Drug	0.010531713439296946
Parathyroid Neoplasms	4-anisoyl-3-(1,2,2-trimethylcyclopentane carboxylic acid)	Drug	0.010728111967192313
Parathyroid Neoplasms	Charcoal	Drug	0.011134041256652679
Parathyroid Neoplasms	Glucose	Drug	0.011165629281076794
Parathyroid Neoplasms	Racemethionine	Drug	0.011456678141763675
Parathyroid Neoplasms	Cyclic AMP	Drug	0.011777252636863219
Parathyroid Neoplasms	Medronic Acid	Drug	0.012031483513923425
Parathyroid Neoplasms	Tolonium Chloride	Drug	0.012547635881359591
Parathyroid Neoplasms	Isoprocarb	Drug	0.012636851311900586
Parathyroid Neoplasms	Gallium Citrate Ga-67	Drug	0.013320845577017267
Parathyroid Neoplasms	Clodronic Acid	Drug	0.01337691071434169
Parathyroid Neoplasms	Cholesterol	Drug	0.013510391751354043
Parathyroid Neoplasms	Ferrous Sulfate	Drug	0.013569011998480738
Parathyroid Neoplasms	Thyroglobulin	Drug	0.01402697347464826
Parathyroid Neoplasms	Frovatriptan	Drug	0.0163815767104888
Parathyroid Neoplasms	Fluorine F 18 Fluoroethylcholine	Drug	0.01657542636872044
Parathyroid Neoplasms	Nitric Oxide	Drug	0.018516567771441762
Parathyroid Neoplasms	Adenosine Triphosphate	Drug	0.018810033419250142
Parathyroid Neoplasms	Recombinant Tumor Necrosis Factor Family Protein	Drug	0.019234381689421508
Parathyroid Neoplasms	Lactic Acid	Drug	0.020948954068764843
Parathyroid Neoplasms	Sodium Fluoride F-18	Drug	0.021071668873343153
Parathyroid Neoplasms	Tecalcet	Drug	0.021601915179673456
Parathyroid Neoplasms	Carbon Monoxide	Drug	0.023285172596233146
Parathyroid Neoplasms	Recombinant Interleukin-6	Drug	0.023413223583202573
Parathyroid Neoplasms	Alendronate	Drug	0.023862947374352687
Parathyroid Neoplasms	Glucagon	Drug	0.024622099865061635
Parathyroid Neoplasms	Tromantadine	Drug	0.026078609531702532
Parathyroid Neoplasms	Teriparatide	Drug	0.026322992476813634
Parathyroid Neoplasms	Paraffin	Drug	0.026379659813474798
Parathyroid Neoplasms	Lithium Carbonate	Drug	0.027103730170556922
Parathyroid Neoplasms	Capecitabine/Temozolomide Regimen	Drug	0.028344894376292815
Parathyroid Neoplasms	Glutamic Acid	Drug	0.02983898915767714
Parathyroid Neoplasms	Scarlet Red	Drug	0.031159791229104738
Parathyroid Neoplasms	Secretin	Drug	0.03383437583321356
Parathyroid Neoplasms	Thyrotropin-Releasing Hormone	Drug	0.03484886040308442
Parathyroid Neoplasms	Thyroxine	Drug	0.03558262934729465
Parathyroid Neoplasms	Cisplatin	Drug	0.03607141586665662
Parathyroid Neoplasms	Progesterone	Drug	0.03645279057779095
Parathyroid Neoplasms	Lutetium Lu 177 Dotatate	Drug	0.036650217528005104
Parathyroid Neoplasms	Estradiol	Drug	0.03740898701028953
Parathyroid Neoplasms	Norepinephrine	Drug	0.039128152305257145
Parathyroid Neoplasms	Vipivotide Tetraxetan	Drug	0.03962412124625744
Parathyroid Neoplasms	Lanreotide	Drug	0.040073038386963036
