Selection	Association Name	Association Type	Significance
ACTB	bafilomycin A1	Drug	0.0003198789052850383
ACTB	Recombinant 70-kD Heat-Shock Protein	Drug	0.00047970441474507993
ACTB	Hypoxanthine	Drug	0.0005351036857282308
ACTB	Cycloheximide	Drug	0.0005885410260658048
ACTB	Recombinant Tumor Necrosis Factor-Alpha	Drug	0.0006301516903449198
ACTB	NAMPT Inhibitor STF-118804	Drug	0.0007593863813328137
ACTB	Recombinant Tumor Necrosis Factor Family Protein	Drug	0.0009466423280457818
ACTB	5-bromo-4-chloro-3-indolyl beta-galactoside	Drug	0.0009711659838979678
ACTB	Dactinomycin	Drug	0.0009888579806369908
ACTB	Nitrofen	Drug	0.0010132481095599195
ACTB	3-methyladenine	Drug	0.0010480392635805202
ACTB	Recombinant Interleukin-1-alpha	Drug	0.0010692328779544791
ACTB	Ethidium	Drug	0.0011065796944787476
ACTB	Interleukin-4	Drug	0.0011546549450632548
ACTB	concanamycin F	Drug	0.0012669254783982658
ACTB	Recombinant Interleukin-1-beta	Drug	0.0013055309806717388
ACTB	Interferon-gamma	Drug	0.0013154355893127071
ACTB	jasplakinolide	Drug	0.0014029403850224303
ACTB	Recombinant Interleukin-6	Drug	0.0015924907788299185
ACTB	Sirolimus	Drug	0.0017070832597095727
ACTB	Aldesleukin	Drug	0.001783210807874
ACTB	Ornithine	Drug	0.0018080175737645355
ACTB	phorbol	Drug	0.0018294543267101963
ACTB	Thymidine	Drug	0.0018547274312093382
ACTB	Chloroquine	Drug	0.0018574887475388184
ACTB	DAPI	Drug	0.002019717580048554
ACTB	Cetaben	Drug	0.0024126504024824854
ACTB	Tetradecanoylphorbol Acetate	Drug	0.0025810761305302353
ACTB	5-thio-D-glucose	Drug	0.002609646213020569
ACTB	PCNU	Drug	0.002649949933299853
ACTB	3-methylbenzaldehyde	Drug	0.0027957197568206004
ACTB	antibiotic G 418	Drug	0.003026443333363937
ACTB	Adenovirus Vector	Drug	0.003371615998782354
ACTB	1,2-dielaidoylphosphatidylethanolamine	Drug	0.0034590843232759107
ACTB	Glutathione	Drug	0.003473469766420824
