Selection	Association Name	Association Type	Significance
ESR1	Fulvestrant	Drug	0.0000010287050767128322
ESR1	Estradiol	Drug	0.000001496117993189552
ESR1	Tamoxifen	Drug	0.000002057304882722561
ESR1	Progesterone	Drug	0.000005834394735696508
ESR1	Afimoxifene	Drug	0.000006518023756956982
ESR1	Raloxifene	Drug	0.000006875921604046732
ESR1	4,4',4''-(4-propyl-((1)H)-pyrazole-1,3,5-triyl) tris-phenol	Drug	0.00001619399291715011
ESR1	Bazedoxifene	Drug	0.000017875488673153528
ESR1	Elacestrant	Drug	0.00002366031114393769
ESR1	Lasofoxifene	Drug	0.00002444117994985379
ESR1	ICI 164384	Drug	0.000024974022077229417
ESR1	Ospemifene	Drug	0.00003296397076040403
ESR1	Arzoxifene	Drug	0.000036380967873098244
ESR1	Genistein	Drug	0.00003944925327358451
ESR1	Furylfuramide	Drug	0.000041587447981119574
ESR1	Letrozole	Drug	0.000044995992421136574
ESR1	Toremifene	Drug	0.00004984148738577681
ESR1	Acolbifene	Drug	0.000051068755526236686
ESR1	LY 117018	Drug	0.00005538407423006098
ESR1	Epidermal Growth Factor	Drug	0.00006128405117989914
ESR1	Coumestrol	Drug	0.00006165698175037549
ESR1	Nafoxidine	Drug	0.00006374199686322692
ESR1	Amcenestrant	Drug	0.00006490390231624758
ESR1	Non-Steroidal Estrogen	Drug	0.00007363759892057943
ESR1	Triphenylethylene	Drug	0.0000796470088626732
ESR1	Exemestane	Drug	0.00008773503654983931
ESR1	Giredestrant	Drug	0.00008855128440187981
ESR1	Idoxifene	Drug	0.00009324386887636391
ESR1	Daidzein	Drug	0.00009678187412665423
ESR1	Selective Estrogen Receptor Degrader AZD9496	Drug	0.00009727060873520718
ESR1	Isoflavone	Drug	0.00010561009513923524
ESR1	Moxestrol	Drug	0.0001070299676219402
ESR1	Diethylstilbestrol	Drug	0.00010713522872686024
ESR1	Equol	Drug	0.00011241178272346431
ESR1	Anastrozole	Drug	0.0001231818315408769
ESR1	RU 58668	Drug	0.00013143870893858465
ESR1	Dihydrotestosterone	Drug	0.00013497641711002225
ESR1	Camizestrant	Drug	0.00013885529349036952
ESR1	4-hydroxy-N-desmethyltamoxifen	Drug	0.00014226121556338344
ESR1	Palbociclib	Drug	0.00014927511129064956
ESR1	Ethinyl Estradiol	Drug	0.00015046507799309776
ESR1	Levormeloxifene	Drug	0.00015246734277630605
ESR1	nonylphenol	Drug	0.00015317831161979612
ESR1	EM 800	Drug	0.00015598518812609056
ESR1	Ormeloxifene	Drug	0.0001593355297936616
ESR1	Prinaberel	Drug	0.00017744793039869636
ESR1	Promegestone	Drug	0.0001834381158909482
ESR1	4-nonylphenol	Drug	0.00018468591779568025
ESR1	Conjugated Estrogens	Drug	0.000202511442844089
ESR1	27-Hydroxycholesterol	Drug	0.0002157653905518446
ESR1	Selective Estrogen Receptor Degrader LSZ102	Drug	0.00022318686467292733
ESR1	Rintodestrant	Drug	0.00022318686467292733
ESR1	NSC 297170	Drug	0.00022865761097117218
ESR1	11-beta-chloromethyl-estradiol	Drug	0.00022865761097117218
ESR1	2-Hydroxyestradiol	Drug	0.00023281934627848827
ESR1	o,p'-DDT	Drug	0.00023506649414508426
ESR1	Methoxychlor	Drug	0.00023644778554400344
ESR1	Brilanestrant	Drug	0.0002386619498218125
