Selection	Association Name	Association Type	Significance
MAPK1	MEK Inhibitor PD-98059	Drug	0.000005609799839276978
MAPK1	Tyrosine	Drug	0.000047895611866206323
MAPK1	ERK Inhibitor	Drug	0.0000725010879214854
MAPK1	Epidermal Growth Factor	Drug	0.00007287689572235941
MAPK1	Adezmapimod	Drug	0.00009858204600987713
MAPK1	Wortmannin	Drug	0.00014166307474008336
MAPK1	Kaempferol	Drug	0.00017377338088403612
MAPK1	phorbol	Drug	0.00019833017969263187
MAPK1	Remeglurant	Drug	0.00021054758169869223
MAPK1	Yang Yin Fu Zheng	Drug	0.00021063625318722414
MAPK1	4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole	Drug	0.00021509274446833695
MAPK1	Tetradecanoylphorbol Acetate	Drug	0.00022561330928185
MAPK1	Tyrphostin AG 1478	Drug	0.0002271139520856608
MAPK1	bisindolylmaleimide I	Drug	0.00023492396913329846
MAPK1	PI3K/BET Inhibitor LY294002	Drug	0.00023776058491537064
MAPK1	Ulixertinib	Drug	0.0002403801463868959
MAPK1	Luteolin	Drug	0.00025080009766267257
MAPK1	Recombinant Tumor Necrosis Factor Family Protein	Drug	0.00026474185233476075
MAPK1	Quercetin	Drug	0.00026989433429923756
MAPK1	pyrazolanthrone	Drug	0.000295116589133924
MAPK1	Genistein	Drug	0.00033442752211667876
MAPK1	Tucaresol	Drug	0.00034293337077963585
MAPK1	Recombinant Interleukin-6	Drug	0.00035733834970067696
MAPK1	Herbimycin	Drug	0.00036799656562787764
MAPK1	Ravoxertinib	Drug	0.00039848349507411407
MAPK1	Selumetinib	Drug	0.00041313270212933284
MAPK1	sennoside E	Drug	0.00042127252916238306
MAPK1	ERK1/2 Inhibitor ERAS-007	Drug	0.00042127252916238306
MAPK1	ERK Inhibitor MK-8353	Drug	0.0004216275514377657
MAPK1	Disulfiram	Drug	0.0004680599401450994
MAPK1	3-methylquercetin	Drug	0.0004882138625876082
MAPK1	wogonin	Drug	0.000488984761266059
MAPK1	baicalein	Drug	0.0005255197886846768
MAPK1	Okadaic Acid	Drug	0.00053060228417485
MAPK1	Anisomycin	Drug	0.0005583941971574662
MAPK1	MEK Inhibitor RO4987655	Drug	0.0006329745683586646
MAPK1	Cyclic AMP	Drug	0.0006663896634109479
MAPK1	Becaplermin	Drug	0.000693856842307201
MAPK1	Phosphatidylinositide 3-Kinase Inhibitor	Drug	0.0007018757214965778
MAPK1	Mirdametinib	Drug	0.0007675571039426667
MAPK1	Trametinib	Drug	0.0007945011917374158
MAPK1	Tyrphostin AG 126	Drug	0.0008147327292146516
MAPK1	Beta-Sitosterol	Drug	0.0008180678130191389
MAPK1	5-S-cysteaminyldopamine	Drug	0.0008432551941041024
MAPK1	Ro 31-8220	Drug	0.0008723475167174386
MAPK1	MEK Inhibitor WX-554	Drug	0.001054513248414393
MAPK1	butyl phosphorotrithioate	Drug	0.0010582776248382443
