Selection	Association Name	Association Type	Significance
MEN1	Menin Inhibitor	Drug	0.000004868139542891469
MEN1	Revumenib	Drug	0.000009670998012155845
MEN1	Ziftomenib	Drug	0.000017336080718203878
MEN1	Menin-MLL Interaction Inhibitor JNJ-75276617	Drug	0.00007800832097789765
MEN1	Menin Inhibitor DSP-5336	Drug	0.00007800832097789765
MEN1	Menin Inhibitor BMF-219	Drug	0.00007800832097789765
MEN1	Recombinant Parathyroid Hormone	Drug	0.00011917409889459902
MEN1	Menogaril	Drug	0.00017721115568517196
MEN1	Somatostatin	Drug	0.00020546088866017092
MEN1	Magrolimab	Drug	0.00029806854986725483
MEN1	Pivekimab	Drug	0.0003902850885746414
MEN1	SUNIRINE	Drug	0.0003902850885746414
MEN1	Pentetreotide	Drug	0.0004333771498034404
MEN1	Octreotide	Drug	0.00045655946115467515
MEN1	MLL/MLLT1 Fusion Protein	Drug	0.0006247485616109695
MEN1	Gilteritinib	Drug	0.000681478060026934
MEN1	Secretin	Drug	0.0008201558235372671
MEN1	Cabergoline	Drug	0.0008346892114716249
MEN1	Pinometostat	Drug	0.000880543748588555
MEN1	Somatostatin Receptor Agonist	Drug	0.0009193688831376789
MEN1	Fluorine F 18 Fluorocholine	Drug	0.0009262597215932639
MEN1	Pivekimab Sunirine	Drug	0.0009377081616867576
MEN1	Colloidal Gold-Bound Tumor Necrosis Factor	Drug	0.0010160091252982314
MEN1	Lavoltidine	Drug	0.0010377332363005244
MEN1	Gallium Ga 68-DOTATATE	Drug	0.0010530364852790975
MEN1	Mezigdomide	Drug	0.0011726843889117305
MEN1	Growth Hormone-Releasing Hormone	Drug	0.0012581287493031508
MEN1	Glucagon	Drug	0.0012632872626202715
MEN1	Gallium Ga 68-DOTANOC	Drug	0.0013152114548732501
MEN1	Technetium Tc 99m Sestamibi	Drug	0.0015141233108147047
MEN1	Enasidenib	Drug	0.0016541281522995481
MEN1	Capecitabine/Temozolomide Regimen	Drug	0.0018068501427116522
MEN1	Venetoclax	Drug	0.001889064818401478
MEN1	Ivosidenib	Drug	0.0019640369850297797
MEN1	Everolimus	Drug	0.0022124477537690673
MEN1	Lanreotide	Drug	0.0022376467179379867
MEN1	BCL-2 Inhibitor	Drug	0.00225820028150864
MEN1	Growth Hormone	Drug	0.002329515851083402
MEN1	Lysine	Drug	0.0024018867120651787
MEN1	somatostatin receptor 2	Drug	0.0024167538810184915
MEN1	Eprenetapopt	Drug	0.0030392381568791834
MEN1	Mitotane	Drug	0.0034834695821171244
MEN1	Corticotropin	Drug	0.0034866693303054275
MEN1	Therapeutic Insulin	Drug	0.0034933194925144246
MEN1	Iberdomide	Drug	0.0036928416328642286
MEN1	Esomeprazole	Drug	0.0037211510509789015
MEN1	Azacitidine/Venetoclax Regimen	Drug	0.003851189554373527
MEN1	Lutetium Lu 177 Dotatate	Drug	0.0039018665111910616
MEN1	Omeprazole	Drug	0.003953020548213152
MEN1	3-N-(2-fluoroethyl)spiperone	Drug	0.004168182515644489
MEN1	Gallium Ga 68-Edotreotide	Drug	0.004326827694982021
MEN1	Sunitinib	Drug	0.004412696742220693
MEN1	Diazoxide	Drug	0.0044891748188993445
MEN1	Gemtuzumab	Drug	0.004786369123733056
MEN1	elaiophylin	Drug	0.0048033588664829876
MEN1	3,5-diiodothyropropionic acid	Drug	0.00504195992919304
MEN1	Human Growth Hormone	Drug	0.005076148513346264
MEN1	Cinacalcet	Drug	0.0052710728156550955
MEN1	Quizartinib	Drug	0.005499452840899651
MEN1	somatostatin receptor 5	Drug	0.006526642598183509
MEN1	cephaelin	Drug	0.006638368731168031
MEN1	Sulconazole	Drug	0.0072797351710897715
MEN1	Midostaurin	Drug	0.007353079707386205
MEN1	alachlor	Drug	0.007448501367824701
MEN1	Calcitonin	Drug	0.0074632475523013775
MEN1	YM 022	Drug	0.007601021280819117
