Selection	Association Name	Association Type	Significance
CAV1	triphenylphosphine	Drug	0.000005798006699464961
CAV1	phosphine	Drug	0.000014247601278533015
CAV1	Tesmilifene	Drug	0.0000343726884796343
CAV1	Filipin	Drug	0.000035788131845841614
CAV1	1,2-dipalmitoyl-3-phosphatidylethanolamine	Drug	0.00004359580608124118
CAV1	palladium chloride	Drug	0.00005644226776178591
CAV1	Carbon Monoxide	Drug	0.00010681262271456548
CAV1	Cholesterol	Drug	0.00010897692486844417
CAV1	xantphos	Drug	0.00014846293202364772
CAV1	Nitric Oxide	Drug	0.00016075491664650988
CAV1	pyridine	Drug	0.00032790934499403945
CAV1	tetrahydrothiophene	Drug	0.00035393779727436856
CAV1	Nystatin	Drug	0.00046351290133830425
CAV1	cyanodithioimidocarbonate	Drug	0.00047272989091440634
CAV1	Monosialotetrahexosylganglioside	Drug	0.00049779557948927
CAV1	Tyrosine	Drug	0.0005052694765057356
CAV1	Octoxynol	Drug	0.0005612267380106911
CAV1	potassium channel subfamily K member 3	Drug	0.0006444041010549012
CAV1	ethyl trichloroacetate	Drug	0.0007094300671614661
CAV1	Monocrotaline	Drug	0.0007460389430379655
CAV1	2,2'-Dipyridyl	Drug	0.0007462194535962845
CAV1	Epidermal Growth Factor	Drug	0.0007655719654376139
CAV1	Cisplatin	Drug	0.0008122954326880016
CAV1	Ethane	Drug	0.0009228905218442324
CAV1	1-ethenyl-4-methylbenzene	Drug	0.0009463540476553853
CAV1	phenylacetylene	Drug	0.0009953343205712924
CAV1	Potassium Carbonate	Drug	0.001045541805618008
CAV1	8-quinolinecarboxylic acid	Drug	0.0011835020705613004
CAV1	Stibine	Drug	0.0013123799557267042
CAV1	leucoquinizarin	Drug	0.0014208743743448164
CAV1	NG-Nitroarginine Methyl Ester	Drug	0.0014286828745160925
CAV1	4-cymene	Drug	0.0015299653856381558
CAV1	Betadex	Drug	0.0015305397224407023
CAV1	ferrocene	Drug	0.001543944933865164
CAV1	Nitric Oxide Synthase Inhibitor	Drug	0.0015781550819520952
CAV1	4-methylpyridine	Drug	0.0016123554985599264
CAV1	2-methylarginine	Drug	0.0016584711977724485
CAV1	Dilmapimod	Drug	0.0016584711977724485
CAV1	ruthenium chloride	Drug	0.001841993137755803
CAV1	8-chlorocaffeine	Drug	0.0018962927799120708
CAV1	CXCR4 Inhibitor Q-122	Drug	0.0018962927799120708
CAV1	KMRC011	Drug	0.0018962927799120708
CAV1	phosphazine	Drug	0.0019034919455768518
CAV1	Acetophenone	Drug	0.0019109871675065595
CAV1	triphenylphosphine oxide	Drug	0.0019146970130606749
CAV1	Methylene Chloride	Drug	0.0019992063999949112
CAV1	Metizoline	Drug	0.0021343393601333614
CAV1	18-crown-6	Drug	0.0021707852703551386
CAV1	Ceramide	Drug	0.002202969303917634
CAV1	Tromethamine	Drug	0.0022197030660296756
CAV1	Wortmannin	Drug	0.002224312780759735
CAV1	2,6-diphenylpyridine	Drug	0.0022636153041886496
CAV1	trifluoromethanesulfonic acid	Drug	0.0022710372830086873
CAV1	Brefeldin A	Drug	0.0022874684397680427
CAV1	Auranofin	Drug	0.002310263083773795
CAV1	1-hexene	Drug	0.0023283202793830584
CAV1	Butane	Drug	0.0023356064912021276
CAV1	sabinol	Drug	0.0023726111781082475
CAV1	Azurin:50-77 Cell Penetrating Peptide p28	Drug	0.0023726111781082475
CAV1	thioflavone	Drug	0.0023726111781082475
CAV1	Nocodazole	Drug	0.002436869051271604
CAV1	2-norbornene	Drug	0.0024484332902375036
CAV1	Catechin	Drug	0.0026191791447104477
CAV1	triethylamine	Drug	0.0026661252110955617
CAV1	Tyrphostin AG 1478	Drug	0.0026708277877290315
CAV1	3-hydroxyanisole	Drug	0.00268505414573551
CAV1	4-phenylpyridine	Drug	0.0026926813853165935
CAV1	Propane	Drug	0.0027939374186888737
CAV1	2-iodophenol	Drug	0.0028057220660777423
CAV1	1,1,1-trifluoro-2,4-pentanedione	Drug	0.002849831487520447
CAV1	triphenylarsine	Drug	0.002986938422928524
CAV1	Genistein	Drug	0.0029974121428836143
CAV1	Iodide	Drug	0.0029984919114921316
CAV1	triethylsilane	Drug	0.003022729756955585
CAV1	1-methylimidazole	Drug	0.003063800711240611
CAV1	anthrarobin	Drug	0.003088780459816895
CAV1	2-phenylpyridine	Drug	0.00310643232902235
CAV1	1,4-cyclohexadiene	Drug	0.003207315422234639
CAV1	1,2-dimethoxyethane	Drug	0.0032709620482986104
CAV1	1,10-phenanthroline	Drug	0.003274191138681435
CAV1	Anti-CD26 Monoclonal Antibody YS110	Drug	0.0033279556315861034
CAV1	Chlorpromazine	Drug	0.0033677317470081113
CAV1	Y 27632	Drug	0.003393741399417288
CAV1	oleylamine	Drug	0.0034633897920209275
CAV1	Dimethyl Sulfoxide	Drug	0.003463580596010866
CAV1	jasplakinolide	Drug	0.003512086399583561
CAV1	MEK Inhibitor PD-98059	Drug	0.00351451695466673
CAV1	acetonitrile	Drug	0.0035332004904266414
CAV1	Tenivastatin	Drug	0.003551191431209111
CAV1	4-bromothiophenol	Drug	0.0035673572440179757
CAV1	Fluorine F 18 Fluorobenzyl Triphenyl Phosphonium	Drug	0.0035673572440179757
CAV1	N6-benzoyladenine	Drug	0.0035673572440179757
CAV1	Palmitic Acid	Drug	0.0036711377929563656
CAV1	Styrene	Drug	0.0037952803324824377
CAV1	Methane	Drug	0.0037985517127320243
CAV1	tetrahydrofuran	Drug	0.00383434180557775
CAV1	Ethylenediamine	Drug	0.003914095832005989
CAV1	methyl iodide	Drug	0.004031239300598566
CAV1	N,N'-dibutylurea	Drug	0.004046840757154503
CAV1	Ravoxertinib	Drug	0.004046840757154503
CAV1	2-thiophene carboxylic acid	Drug	0.004140424960702337
CAV1	Acetone	Drug	0.004166266556350141
CAV1	propadiene	Drug	0.0042193268872140225
CAV1	propargyl bromide	Drug	0.004250677766882527
CAV1	1-adamantanethiol	Drug	0.004286923141765498
CAV1	Adenovirus Encoding Human Aquaporin-1	Drug	0.004286923141765498
CAV1	Magnesium Bromide	Drug	0.004305856596886934
CAV1	nonane	Drug	0.004491574611015471
CAV1	N-chlorosuccinimide	Drug	0.004588758845074264
CAV1	1-octadecene	Drug	0.004637665132683796
CAV1	calf thymus DNA	Drug	0.004725334357734439
CAV1	1-phenylpropene	Drug	0.004767770379135405
CAV1	vinyl bromide	Drug	0.004776291690788487
CAV1	ethyl levulinate	Drug	0.004813346062172688
CAV1	Daidzein	Drug	0.004873312845120844
CAV1	allyl alcohol	Drug	0.004978698687816719
CAV1	2-thiopyridine	Drug	0.004998551926902637
CAV1	4-isopropylaniline	Drug	0.005008535717639847
CAV1	hydratropic aldehyde	Drug	0.005008535717639847
CAV1	Serum Albumin, Human	Drug	0.005056391484161565
CAV1	tris-O-tolyphosphine	Drug	0.005058836793363002
CAV1	PI3K/BET Inhibitor LY294002	Drug	0.0051774072396590575
CAV1	Nitroprusside	Drug	0.005229175070132732
CAV1	propionitrile	Drug	0.005249269876429183
CAV1	methylphenyl carbinol	Drug	0.005369837241143907
CAV1	octyl-beta-D-glucoside	Drug	0.0054073969570388415
CAV1	2-Propanol	Drug	0.005428746944627888
CAV1	Silver Oxide	Drug	0.00544558166807526
CAV1	illudin M	Drug	0.005490751050958359
CAV1	Bleomycin	Drug	0.005525403962691812
CAV1	diphenyl disulfide	Drug	0.005551219093064114
CAV1	integrin alpha7beta1	Drug	0.00578092115766572
CAV1	Iodixanol	Drug	0.0057876417496151595
CAV1	Lipopolysaccharide	Drug	0.005859665487698017
CAV1	arsine	Drug	0.00591812747097671
