Selection	Association Name	Association Type	Significance
CCND1	Sincalide	Drug	0.00007670787062106241
CCND1	Bromodeoxyuridine	Drug	0.00008076579172206318
CCND1	Epidermal Growth Factor	Drug	0.00008835862897553513
CCND1	Palbociclib	Drug	0.00010999965540769612
CCND1	PI3K/BET Inhibitor LY294002	Drug	0.0001497392035664409
CCND1	MEK Inhibitor PD-98059	Drug	0.0001650686558483984
CCND1	Alvocidib	Drug	0.00018332456782972417
CCND1	Sirolimus	Drug	0.00019614437779762615
CCND1	Flexible Heteroarotinoid Sulfur Heteroarotinoid A2	Drug	0.0002652188455812982
CCND1	Fulvestrant	Drug	0.0003107451916151053
CCND1	Riviciclib	Drug	0.00031244102193389144
CCND1	Curcumin	Drug	0.0003264688516307561
CCND1	Phosphatidylinositide 3-Kinase Inhibitor	Drug	0.00033938192978236735
CCND1	STAT3 Decoy Oligonucleotide	Drug	0.00041495340208114195
CCND1	AKT Inhibitor	Drug	0.0004402671375355294
CCND1	Annexin A5	Drug	0.0004447445887957884
CCND1	Tetranitromethane	Drug	0.0004453577920853941
CCND1	Bortezomib	Drug	0.00044850919907121024
CCND1	Becaplermin	Drug	0.00044982257699092065
CCND1	Tyrosine	Drug	0.0004909890584673442
CCND1	Proteasome Inhibitor MG-132	Drug	0.0004982862720508171
CCND1	plastochromanol 8	Drug	0.000510519710088388
CCND1	Azoxymethane	Drug	0.0005666102039725462
CCND1	Allogeneic Renal Cell Carcinoma Vaccine MGN1601	Drug	0.0005869568335545948
CCND1	HDAC8 Inhibitor NBM-BMX	Drug	0.0005869568335545948
CCND1	Abemaciclib/Letrozole Regimen	Drug	0.0005869568335545948
CCND1	Tamoxifen	Drug	0.0005977793045017177
CCND1	Exisulind	Drug	0.0006114774280592077
CCND1	Propidium Iodide	Drug	0.0006423673209912826
CCND1	Recombinant Interleukin-6	Drug	0.0007049430651444083
CCND1	Adezmapimod	Drug	0.0007162962056897829
CCND1	Naphthalimide Analogue UNBS5162	Drug	0.000719642523612475
CCND1	Iodide	Drug	0.0007279664352490513
CCND1	endothelial PAS domain-containing protein 1	Drug	0.0007291188274578351
CCND1	Progesterone	Drug	0.0007331870078255229
CCND1	Abemaciclib	Drug	0.000753127069754413
CCND1	Vorinostat	Drug	0.0007720508721225007
CCND1	Diethylnitrosamine	Drug	0.0007725684469508661
CCND1	Temsirolimus	Drug	0.000793733479958224
CCND1	Cisplatin	Drug	0.0008001042035369198
CCND1	Resveratrol	Drug	0.0008070583112845751
CCND1	Tretinoin	Drug	0.0008920980417926772
CCND1	Paraffin	Drug	0.0008946683282585167
CCND1	Estradiol	Drug	0.000902668209317371
CCND1	Trichostatin A	Drug	0.0009197727193722919
CCND1	Ciglitazone	Drug	0.0009243184146976753
CCND1	1,4-bis(2-(3,5-dichloropyridyloxy))benzene	Drug	0.0009322727478787261
CCND1	Akt Inhibitor MK2206	Drug	0.000933407463234978
CCND1	pyrazolanthrone	Drug	0.0009417023123330337
CCND1	DAPI	Drug	0.0009556005229422443
CCND1	Sulindac	Drug	0.0009785043684171757
CCND1	ERK Inhibitor	Drug	0.000984645517706196
CCND1	Sorafenib	Drug	0.0010214867939463538
CCND1	Roscovitine	Drug	0.0010332175111392567
CCND1	Wortmannin	Drug	0.0011061006693496478
CCND1	Thymidine	Drug	0.0011079936881815242
CCND1	Doxorubicin	Drug	0.001120067912864579
CCND1	Epigallocatechin Gallate	Drug	0.0011266215434346384
CCND1	Tyrphostin AG 1478	Drug	0.0011373238608054536
CCND1	Diindolylmethane	Drug	0.0011548686606060036
CCND1	clitocybin B	Drug	0.0011752929229112868
CCND1	N-(3-(5-(4-bromo-2-fluorophenylamino)-3-cyclopropyl-8-methyl-2,4,7-trioxo-3,4,7,8-tetrahydro-2H-pyrido(2,3-d)pyrimidin-1-yl)phenyl)methanesulfonamide	Drug	0.0011752929229112868
CCND1	MKNK1 Inhibitor BAY 1143269	Drug	0.0011752929229112868
CCND1	Ribociclib	Drug	0.001176939061300178
CCND1	Silybin	Drug	0.0013339402146991645
CCND1	Dactolisib	Drug	0.0013376482162696065
CCND1	Iproplatin	Drug	0.00139424953903346
CCND1	Recombinant Tumor Necrosis Factor Family Protein	Drug	0.0015304572750281255
CCND1	Afimoxifene	Drug	0.0015376327758537657
CCND1	Porcupine Inhibitor Wnt-C59	Drug	0.0015580876079173765
CCND1	olomoucine	Drug	0.0015684564446917866
CCND1	garcinol	Drug	0.0016217798423245697
CCND1	Artemisinin Dimer	Drug	0.0016226915844664205
CCND1	PI3Kalpha Inhibitor CYH33	Drug	0.0016226915844664205
CCND1	Decitabine	Drug	0.0016370100713645843
CCND1	N-(2-hydroxypropyl)methacrylamide co-polymer-doxorubicin conjugate	Drug	0.001644561659629532
CCND1	Porcupine Inhibitor WNT974	Drug	0.0016608357962860244
CCND1	Indole-3-Carbinol	Drug	0.00166375059043282
CCND1	Troglitazone	Drug	0.001669697171815505
CCND1	Foscenvivint	Drug	0.0017084929936413858
CCND1	Apoptosis Inducer BZL101	Drug	0.0017461496955426415
CCND1	Hedgehog Inhibitor IPI-609	Drug	0.0017650119164316271
CCND1	Sevacizumab	Drug	0.0017650119164316271
CCND1	BET Bromodomain Inhibitor ZEN-3694	Drug	0.0017650119164316271
CCND1	HDAC Inhibitor CKD-581	Drug	0.0017650119164316271
CCND1	FGFR4 Inhibitor BLU 9931	Drug	0.0017775233414851928
CCND1	pifithrin	Drug	0.0017926843084986347
CCND1	Peptichemio	Drug	0.0018110090085359095
CCND1	PI3K Inhibitor ZSTK474	Drug	0.0018475381350815667
CCND1	5,5',6,6'-tetrachloro-1,1',3,3'-tetraethylbenzimidazolocarbocyanine	Drug	0.0018892976715237414
CCND1	Bisbenzimidazole	Drug	0.0018900340291715424
CCND1	Prinaberel	Drug	0.001977357285052835
CCND1	MEK Inhibitor CI-1040	Drug	0.001984875073498002
CCND1	mTOR Kinase Inhibitor OSI-027	Drug	0.0020103682386523915
CCND1	Fluorouracil	Drug	0.002054356181785755
CCND1	honokiol	Drug	0.002062036931412553
CCND1	PI3K/mTOR Kinase Inhibitor PF-04691502	Drug	0.0020860595033384815
CCND1	decursin	Drug	0.002111247694403723
CCND1	Tyrphostin B42	Drug	0.0021313888223424477
CCND1	Gefitinib	Drug	0.0021369347113377995
CCND1	Licochalcone A	Drug	0.0021601948231404775
CCND1	Bivalent BRD4 Inhibitor AZD5153	Drug	0.0021776620422590347
CCND1	Mirdametinib	Drug	0.0022036120416324785
CCND1	Lithium Chloride	Drug	0.002217240598238816
CCND1	SHP-1 Agonist SC-43	Drug	0.0022179791624983643
