Selection	Association Name	Association Type	Significance
CDKN2B	Ranpirnase	Drug	0.00000667348122868053
CDKN2B	N-(3-(5-(4-bromo-2-fluorophenylamino)-3-cyclopropyl-8-methyl-2,4,7-trioxo-3,4,7,8-tetrahydro-2H-pyrido(2,3-d)pyrimidin-1-yl)phenyl)methanesulfonamide	Drug	0.00018721464482462726
CDKN2B	minozac	Drug	0.0001872847262084084
CDKN2B	Decitabine	Drug	0.000278510453502171
CDKN2B	CK2-targeting Synthetic Peptide CIGB-300	Drug	0.0003646877814963995
CDKN2B	Mepramidil	Drug	0.00046829953015068153
CDKN2B	Azacitidine	Drug	0.0004916520452327463
CDKN2B	Flurothyl	Drug	0.0005270929774123057
CDKN2B	6-Phenylhexyl Isothiocyanate	Drug	0.0005947366485345652
CDKN2B	Palbociclib	Drug	0.001022916316205862
CDKN2B	Pyridinolcarbamate	Drug	0.0012104766217979905
CDKN2B	CDK Inhibitor R547	Drug	0.0012194044959864788
CDKN2B	BMS453	Drug	0.0013134509224403742
CDKN2B	DNMT1 Mixed-Backbone Antisense Oligonucleotide MG 98	Drug	0.0013134509224403742
CDKN2B	Corynebacterium Granulosum P40	Drug	0.0015114066080036325
CDKN2B	CI 959	Drug	0.0019727631378963872
CDKN2B	Recombinant Transforming Growth Factor-Beta 1	Drug	0.0020105330207310255
CDKN2B	Sodium Bisulfite	Drug	0.0024365902226024623
CDKN2B	terreic acid	Drug	0.0027283830708877584
CDKN2B	methylazoxymethanol	Drug	0.0028005692978727644
CDKN2B	3-aminopropyl-cyclohexylmethylphosphinic acid	Drug	0.0028229949399904745
CDKN2B	Recombinant Transforming Growth Factor	Drug	0.002884067083696144
CDKN2B	Kainic Acid	Drug	0.0031653484412597142
CDKN2B	kokusaginine	Drug	0.0034862719404882563
CDKN2B	Phosphorus P-32	Drug	0.0035457151244470265
CDKN2B	PADRE 965.10	Drug	0.003676099578111418
CDKN2B	dihydroxyethyldithiocarbamate	Drug	0.0038660696241250084
CDKN2B	Carisoprodol	Drug	0.004009112885452326
CDKN2B	5-bromouridine	Drug	0.0044278253389952475
CDKN2B	sulforhodamine 101	Drug	0.004500516003163748
CDKN2B	Gamma-Aminobutyric Acid	Drug	0.004509865146368363
CDKN2B	Bromodeoxyuridine	Drug	0.004526153244515344
CDKN2B	2'-(4-methylumbelliferyl)-alpha-D-N-acetylneuraminic acid	Drug	0.004627376301119985
CDKN2B	N-Methylaspartate	Drug	0.004714325092939588
CDKN2B	Demethylating Agent	Drug	0.0048159847538515035
CDKN2B	Ivosidenib	Drug	0.005351609950981541
CDKN2B	Ketamine	Drug	0.005549389422332442
CDKN2B	Recombinant Activin	Drug	0.005624533420032132
