Selection	Association Name	Association Type	Significance
CTNNB1	CBP/beta-catenin Modulator E7386	Drug	0.00011933642938050501
CTNNB1	Lithium Chloride	Drug	0.00021525780019856044
CTNNB1	Azoxymethane	Drug	0.00022407561072596824
CTNNB1	Tyrosine	Drug	0.00025021248034039846
CTNNB1	GS/pan-Notch Inhibitor AL102	Drug	0.0002842797125577735
CTNNB1	Anti-DKK1 Monoclonal Antibody BHQ880	Drug	0.00029335093991005425
CTNNB1	Porcupine Inhibitor Wnt-C59	Drug	0.0003667516534077226
CTNNB1	Porcupine Inhibitor ETC-1922159	Drug	0.0003735946098951473
CTNNB1	WT1/PSMA/hTERT-encoding Plasmid DNA INO-5401	Drug	0.00042605634632199367
CTNNB1	HDAC8 Inhibitor NBM-BMX	Drug	0.00042605634632199367
CTNNB1	Abemaciclib/Letrozole Regimen	Drug	0.00042605634632199367
CTNNB1	mtRTK Inhibitor WM-S1-030	Drug	0.00042605634632199367
CTNNB1	BRD9 Degrader FHD-609	Drug	0.00042605634632199367
CTNNB1	Rosmantuzumab	Drug	0.00042641959190301687
CTNNB1	Tegavivint	Drug	0.0004539409304343652
CTNNB1	Sulindac	Drug	0.0004928526318828384
CTNNB1	Epidermal Growth Factor	Drug	0.0005237887439264583
CTNNB1	P-p68 Inhibitor RX-5902	Drug	0.0005332517433770213
CTNNB1	Exisulind	Drug	0.0006027628357089949
CTNNB1	Foscenvivint	Drug	0.0007894492250672887
CTNNB1	sennoside E	Drug	0.000852839229938747
CTNNB1	Porcupine Inhibitor WNT974	Drug	0.0008794281832440555
CTNNB1	Sincalide	Drug	0.0009010117766226987
CTNNB1	N-(4-methoxybenzyl)-N'-(5-nitro-1,3-thiazol-2-yl)urea	Drug	0.0009315347455712477
CTNNB1	Proapoptotic Sulindac Analog CP-461	Drug	0.0009992331628453106
CTNNB1	PI3K/BET Inhibitor LY294002	Drug	0.0010650187182048687
CTNNB1	Ipafricept	Drug	0.0010687803878154985
CTNNB1	Tetranitromethane	Drug	0.001133328875050493
CTNNB1	Decitabine	Drug	0.0011371117948420514
CTNNB1	Paraffin	Drug	0.0012098597825461607
CTNNB1	Mesenchymal Stem Cell	Drug	0.0012369558387967216
CTNNB1	Everolimus/Letrozole Regimen	Drug	0.0012803500452769458
CTNNB1	K cadherin	Drug	0.0012912248125159786
CTNNB1	leptomycin B	Drug	0.001312801116190088
CTNNB1	Brachyury protein	Drug	0.0013976212635627766
CTNNB1	Lithium Carbonate	Drug	0.0013991389122952004
CTNNB1	Vantictumab	Drug	0.0014988500280390844
CTNNB1	Recombinant Hepatocyte Growth Factor	Drug	0.001532236450370092
CTNNB1	Proteasome Inhibitor MG-132	Drug	0.0015382624204184697
CTNNB1	1,2-Dimethylhydrazine	Drug	0.0015486098449859988
CTNNB1	Bromodeoxyuridine	Drug	0.0016262178299086703
CTNNB1	Tretinoin	Drug	0.0016267610503851871
CTNNB1	Casein	Drug	0.0017057149254648472
CTNNB1	1-hydroxyanthraquinone	Drug	0.001962041262721367
CTNNB1	Recombinant Transforming Growth Factor	Drug	0.002074126014109673
CTNNB1	Aurora A Kinase Inhibitor VIC-1911	Drug	0.0021375610646992525
