Selection	Association Name	Association Type	Significance
EGFR	Epidermal Growth Factor	Drug	1.4218893007286489e-7
EGFR	Gefitinib	Drug	8.576918223994449e-7
EGFR	Erlotinib	Drug	0.0000011655756021083886
EGFR	Osimertinib	Drug	0.0000015599708704956454
EGFR	Afatinib	Drug	0.000002261291768026686
EGFR	Cetuximab	Drug	0.0000025772150364533934
EGFR	Trastuzumab	Drug	0.0000029554234354541004
EGFR	Tyrosine	Drug	0.000003045253220391308
EGFR	Lapatinib	Drug	0.000004689057266555113
EGFR	Tyrphostin AG 1478	Drug	0.000005802105234805735
EGFR	Panitumumab	Drug	0.000008818225199057521
EGFR	Icotinib	Drug	0.00001118814828376842
EGFR	Pertuzumab	Drug	0.000012526048287210412
EGFR	Dacomitinib	Drug	0.000012960920235540565
EGFR	Recombinant Amphiregulin	Drug	0.000014444053895817845
EGFR	Ado-Trastuzumab Emtansine	Drug	0.000018370904794153793
EGFR	Recombinant Heregulin	Drug	0.00002278814516133992
EGFR	Neratinib	Drug	0.000030394058286374117
EGFR	Rociletinib	Drug	0.00003266464089257742
EGFR	Compound 32	Drug	0.000032850643743452024
EGFR	Aumolertinib	Drug	0.00003670244791123387
EGFR	Amivantamab	Drug	0.00003688007678410031
EGFR	Trastuzumab Deruxtecan	Drug	0.00003750848036693365
EGFR	Crizotinib	Drug	0.00004021782019992275
EGFR	Progesterone	Drug	0.0000420455236373425
EGFR	Pyrotinib	Drug	0.00004349241048583716
EGFR	Mobocertinib	Drug	0.00004484782704863364
EGFR	Nimotuzumab	Drug	0.00004518094622137356
EGFR	HER2 Inhibitor	Drug	0.000047885255427335004
EGFR	Canertinib	Drug	0.000051508941395572683
EGFR	Palbociclib	Drug	0.000057103158356606615
EGFR	EGFR Inhibitor PD-168393	Drug	0.00005908767042795029
EGFR	Maytansine	Drug	0.00006203792507633752
EGFR	Poziotinib	Drug	0.00006352362356201514
EGFR	Alflutinib	Drug	0.00006447102193429921
EGFR	Vandetanib	Drug	0.0000682858527532854
EGFR	Platinum Doublet	Drug	0.00006872095249391628
EGFR	EGFR/HER1/HER2 Inhibitor PKI166	Drug	0.00007411279075345647
EGFR	Bevacizumab	Drug	0.00007747689117899831
EGFR	Olmutinib	Drug	0.0000780532586819785
EGFR	Docetaxel	Drug	0.00007807581949443499
EGFR	WZ4002	Drug	0.00008499248970103957
EGFR	Ribociclib	Drug	0.00008555661745273222
EGFR	Nazartinib	Drug	0.00008782246978090073
EGFR	Matuzumab	Drug	0.00008880954460261661
EGFR	Lazertinib	Drug	0.00009273514311694138
EGFR	Tucatinib	Drug	0.00009689968553965542
EGFR	Multikinase Inhibitor AEE788	Drug	0.00010232632089966125
EGFR	Sapitinib	Drug	0.00010254473463867
EGFR	Capecitabine	Drug	0.00010645242805482735
EGFR	Serum Albumin, Human	Drug	0.00011235962704962612
EGFR	Abemaciclib	Drug	0.00011294883016292118
EGFR	Pelitinib	Drug	0.00011567795831906405
EGFR	Naquotinib	Drug	0.00011661536714820877
