Selection	Association Name	Association Type	Significance
FLNA	Simufilam	Drug	0.000004006422609748483
FLNA	somatostatin receptor 2	Drug	0.0004083289896744667
FLNA	Ravoxertinib	Drug	0.00043625098175048755
FLNA	NVP ADW742	Drug	0.0006161048569976347
FLNA	Pasireotide	Drug	0.0006513374844218913
FLNA	4-(N-(S-glutathionylacetyl)amino)phenylarsenoxide	Drug	0.0008475353242417239
FLNA	calpeptin	Drug	0.0008550953952620831
FLNA	Cilnidipine	Drug	0.0008820700500735617
FLNA	kartogenin	Drug	0.0011397074989843996
FLNA	somatostatin receptor 5	Drug	0.0011726394402287277
FLNA	Coumaphos	Drug	0.0013005551981667524
FLNA	Parathion	Drug	0.0016142547570586524
FLNA	KT 5926	Drug	0.0022923574143374733
FLNA	MVPP Regimen	Drug	0.0028103805837510184
FLNA	Paraoxon	Drug	0.0028861958524097394
FLNA	Elexacaftor	Drug	0.0031736300943842164
FLNA	Ristocetin	Drug	0.0032344922089099456
FLNA	Metribolone	Drug	0.0034718910616162494
FLNA	Somatostatin	Drug	0.003925730075088151
FLNA	Tezacaftor	Drug	0.004188297228149576
FLNA	Tyrosine	Drug	0.0043548528087814144
FLNA	mTOR Kinase Inhibitor PP242	Drug	0.004501321077543628
FLNA	jasplakinolide	Drug	0.004535231103894267
FLNA	Linsitinib	Drug	0.004710218138596016
FLNA	Sarin	Drug	0.005041012156288453
FLNA	Enzymatically-hydrolyzed Whey Protein-based Nutritional Supplement	Drug	0.0056837875913694404
FLNA	polyestradiol	Drug	0.005800557814853682
FLNA	Peplomycin	Drug	0.006132994873534991
FLNA	pinitol	Drug	0.0072568108211843235
FLNA	echinacoside	Drug	0.00911040759467377
FLNA	lysophosphatidic acid	Drug	0.009438539604022278
FLNA	adriamycinol	Drug	0.010068900508128375
FLNA	lanthanum chloride	Drug	0.010362483032591475
FLNA	Enkephalin, Ala(2)-MePhe(4)-Gly(5)-	Drug	0.010858174002653985
FLNA	Mosapride	Drug	0.010923883655668985
FLNA	Methyl Parathion	Drug	0.010940176174803341
FLNA	Prucalopride	Drug	0.011030954933119647
FLNA	withaferin A	Drug	0.011593804015943683
FLNA	Radicicol	Drug	0.012104099562773689
FLNA	Acephate	Drug	0.012588460655280773
FLNA	katacalcin	Drug	0.012642334086300997
FLNA	oxalylglycine	Drug	0.012723165075889503
FLNA	metabotropic glutamate receptor 4	Drug	0.012830978649324639
FLNA	Timbetasin	Drug	0.012857938994960419
FLNA	Soman	Drug	0.013225716332277314
FLNA	Uridine Triacetate	Drug	0.01348613516750764
FLNA	Thrombin	Drug	0.014176494372354475
FLNA	Bicalutamide	Drug	0.014250772996352357
FLNA	15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid	Drug	0.014699482541968909
FLNA	nebulin	Drug	0.015186969007587488
FLNA	fenamic acid	Drug	0.015459131087248258
FLNA	pegvisomant	Drug	0.015731574456758542
FLNA	Recombinant Heregulin	Drug	0.017509335553275034
FLNA	Brefeldin A	Drug	0.01784086061615167
FLNA	VX	Drug	0.018278829667845095
FLNA	4-nitrophenol	Drug	0.018665606967046985
FLNA	Diprenorphine	Drug	0.019271460004163892
FLNA	Uridine Triphosphate	Drug	0.019974237639425005
FLNA	Octreotide	Drug	0.020187901785746698
FLNA	Epidermal Growth Factor	Drug	0.02022586732089142
FLNA	Primaquine	Drug	0.02061743116372102
FLNA	KN 62	Drug	0.020711804923971674
FLNA	dimyristoylphosphatidylglycerol	Drug	0.020934085625569754
FLNA	Naltrexone	Drug	0.021065768984257955
FLNA	Levorphanol	Drug	0.02274696250607683
FLNA	blebbistatin	Drug	0.022830928958742672
FLNA	latrunculin B	Drug	0.022886921104725313
FLNA	Hexadimethrine Bromide	Drug	0.023952981251244287
FLNA	Cytochalasin B	Drug	0.024100340670035
FLNA	Sphingosine 1-Phosphate	Drug	0.024306981193380265
FLNA	calyculin A	Drug	0.024656631769099022
FLNA	Trypsin Inhibitor, Kazal Pancreatic	Drug	0.025661710350868547
FLNA	phorbol	Drug	0.026356778458850077
FLNA	Y 27632	Drug	0.026398975702852514
FLNA	Colforsin	Drug	0.02673898545728009
FLNA	Lanreotide	Drug	0.02717650126915033
FLNA	Human Immunoglobulin M	Drug	0.02723339557283321
FLNA	Lactulose	Drug	0.027798187399447446
FLNA	methylmercuric chloride	Drug	0.02885986463815534
FLNA	Panobinostat	Drug	0.03072641377984616
FLNA	N-(2-(4-bromocinnamylamino)ethyl)-5-isoquinolinesulfonamide	Drug	0.03262628064578206
FLNA	Nocodazole	Drug	0.0326587180403652
FLNA	Retaspimycin	Drug	0.03333180504323903
FLNA	Iroplact	Drug	0.03476550411935595
FLNA	Coagulation Factor VII Human	Drug	0.03481484252304757
FLNA	Calcium Silicate	Drug	0.0349945684667022
FLNA	Quin2	Drug	0.03508235639310172
FLNA	Bromodeoxyuridine	Drug	0.036786076015837346
FLNA	Adenosine Diphosphate	Drug	0.037045506601648334
FLNA	Triacetoneamine-N-Oxyl	Drug	0.03722702102315177
FLNA	Cholestanol	Drug	0.037876569692507245
FLNA	dithiol	Drug	0.03799482987882274
FLNA	Inositol	Drug	0.038335743733509973
FLNA	Naloxone	Drug	0.03938045948653795
FLNA	Tretinoin	Drug	0.039474805556373754
FLNA	Tirofiban	Drug	0.039596189102122994
FLNA	Recombinant 70-kD Heat-Shock Protein	Drug	0.039811779927572066
FLNA	alpha-Linolenic Acid	Drug	0.042092861733902795
FLNA	Proline	Drug	0.042828135246293954
FLNA	Isoflurophate	Drug	0.042837220723406635
FLNA	FOLFIRI-Ziv-aflibercept Regimen	Drug	0.04303677383209118
FLNA	lactacystin	Drug	0.04412236580836135
FLNA	FOLFIRI Regimen	Drug	0.04530305347611111
FLNA	Sphingosine	Drug	0.04607404510107237
