Selection	Association Name	Association Type	Significance
G6PD	6-phosphogluconic acid	Drug	0.0000027140256991085815
G6PD	Primaquine	Drug	0.000005458284792260007
G6PD	Tafenoquine	Drug	0.000015081802502507589
G6PD	Glutathione	Drug	0.0000162679225830936
G6PD	NAD	Drug	0.00003283650712917647
G6PD	isocitric acid	Drug	0.000039056028142743954
G6PD	Malic Acid	Drug	0.00003987575235650536
G6PD	Phosphates	Drug	0.000041627051436334494
G6PD	Sitamaquine	Drug	0.000059625797559754404
G6PD	Glucose	Drug	0.00006649118014524032
G6PD	Glutathione Disulfide	Drug	0.00007314768192449052
G6PD	6-Aminonicotinamide	Drug	0.00007753045429471824
G6PD	Lactic Acid	Drug	0.00009292343624463161
G6PD	divicine	Drug	0.00009942146539396601
G6PD	N(1)-acetylphenylhydrazine	Drug	0.00013665020836660293
G6PD	Dehydroepiandrosterone	Drug	0.00017857035396414951
G6PD	Pyruvic Acid	Drug	0.0001828857790329528
G6PD	Acetyl Coenzyme A	Drug	0.00024610101559538846
G6PD	Rasburicase	Drug	0.00027311330661434525
G6PD	Sodium Glycerophosphate	Drug	0.0002957640382150543
G6PD	isouramil	Drug	0.00030626621373402264
G6PD	10-beta-carbethoxypropionylchrysarobin	Drug	0.00033310798762248734
G6PD	Metazamide	Drug	0.00033310798762248734
G6PD	Bulaquine	Drug	0.0003337746171218934
G6PD	Malondialdehyde	Drug	0.0003973717094455579
G6PD	thiobarbituric acid	Drug	0.0004038137092389345
G6PD	Ribose	Drug	0.0004258845735231051
G6PD	Gluconates	Drug	0.0004825733646278247
G6PD	Hydrogen Peroxide	Drug	0.0004896255966919115
G6PD	Adenosine Triphosphate	Drug	0.0005313407215306606
G6PD	N-Nitrosomorpholine	Drug	0.0005361435965123617
G6PD	Chloroquine	Drug	0.000591031731597232
G6PD	Diamide	Drug	0.0006121354274222875
G6PD	vicine	Drug	0.0006443460934725286
G6PD	Ascorbic Acid	Drug	0.0006472321984807444
G6PD	Hypoxanthine	Drug	0.0006699977436158436
G6PD	convicine	Drug	0.0006702277162381743
G6PD	Methylene Blue	Drug	0.0006723410593069103
G6PD	Vitamin E	Drug	0.0007407656542585229
G6PD	Dapsone	Drug	0.0007429752905825648
G6PD	cupric ferrocyanide	Drug	0.0007557720903184614
G6PD	Streptozocin	Drug	0.000758342661192523
G6PD	Folitixorin	Drug	0.0009501075314014032
G6PD	Vitamin K 3	Drug	0.000982342945044156
G6PD	gamma-glutamylcysteine	Drug	0.0010890053632098859
G6PD	Therapeutic Insulin	Drug	0.0011742506612394895
G6PD	3,4-Methylenedioxyamphetamine	Drug	0.001189060282779981
G6PD	LIPASE	Drug	0.0012865790431002035
G6PD	Phendimetrazine	Drug	0.0013017642361129512
G6PD	diallyl tetrasulfide	Drug	0.0013046736970776446
G6PD	Diethylnitrosamine	Drug	0.0013322324244254343
G6PD	2-(6-(4-chlorophenoxy)hexyl)oxirane-2-carboxylic acid	Drug	0.0013350989018053845
G6PD	2-ethyl-5-nitro-2,3-dihydro(2-1b)imidazo-oxazole	Drug	0.0013350989018053845
G6PD	Oxaloacetic Acid	Drug	0.0013500618716756477
G6PD	phosphoadenosine diphosphoribose	Drug	0.0014228086884967438
G6PD	polyacrylamide	Drug	0.0015093795183374402
G6PD	Sorbitol	Drug	0.0015098330667718048
G6PD	Androsterone	Drug	0.001529686852326223
G6PD	tert-Butylhydroperoxide	Drug	0.0015500365249933525
G6PD	Oxythiamine	Drug	0.0015727728720787456
G6PD	thionicotinamide	Drug	0.0015800701856680313
G6PD	Artemisinin	Drug	0.0015902186344847248
G6PD	Gluconic Acid	Drug	0.0016132216312968628
G6PD	Glutamic Acid	Drug	0.0016206567949363987
G6PD	Orange B	Drug	0.0016699870814796127
G6PD	TLR1/2 Agonist Pam3Cys-GDPKHPKSF	Drug	0.0016699870814796127
G6PD	Pegloticase	Drug	0.0016885591140760312
G6PD	Cholesterol	Drug	0.001726280609512168
G6PD	indenestrol B	Drug	0.0017599370979203416
G6PD	validamycin A	Drug	0.0018151570505734258
G6PD	Mefloquine	Drug	0.0019215308086160477
G6PD	Radiosensitizer RRx-001	Drug	0.0019652082898079016
G6PD	6 alpha-naloxol	Drug	0.0020053219805174537
G6PD	Artesunate	Drug	0.0020211999497432138
G6PD	Uridine Diphosphate Glucose	Drug	0.002111861675769151
G6PD	aluminum phosphide	Drug	0.002119738699882377
G6PD	Chlorproguanil	Drug	0.0021352091513706668
G6PD	Thioctic Acid	Drug	0.0021457591806160812
G6PD	Fosfructose	Drug	0.0021692233826368043
G6PD	Proguanil	Drug	0.002238148388685362
G6PD	Sulfadoxine	Drug	0.002262060554279308
G6PD	hexadecanal	Drug	0.002443845243568546
G6PD	Lumefantrine	Drug	0.0024452528693629616
G6PD	Anthralin	Drug	0.0024841688109311006
G6PD	Pyrimethamine-Sulfadoxine	Drug	0.002582544855489218
G6PD	Deoxyglucose	Drug	0.002589736324605667
G6PD	phenylhydrazine	Drug	0.0026720285712943715
G6PD	methyl linoleate ozonide	Drug	0.0026773346215633598
G6PD	N-(3-pyridylmethyl)dihydroepidoxorubicin	Drug	0.0026773346215633598
G6PD	Pretomanid	Drug	0.00269207933031742
G6PD	Catechin	Drug	0.00270033330433546
G6PD	Succinic Acid	Drug	0.0028584838517461135
G6PD	cumene hydroperoxide	Drug	0.0028914869128976485
G6PD	Cycloleucine	Drug	0.002922072740871352
