Selection	Association Name	Association Type	Significance
POTEF	bafilomycin A1	Drug	0.000025139012751326085
POTEF	3-methyladenine	Drug	0.0000905093661982574
POTEF	Chloroquine	Drug	0.00014017656626685436
POTEF	Sirolimus	Drug	0.00018294259361604793
POTEF	DAPI	Drug	0.00018660545403235957
POTEF	3-methylbenzaldehyde	Drug	0.00025062765760113046
POTEF	Cyclophosphamide/Etoposide/Methotrexate/Vincristine Regimen	Drug	0.00033042544382690944
POTEF	Dofequidar	Drug	0.0003646322760327168
POTEF	Hypoxanthine	Drug	0.0004380484114635666
POTEF	RU 5135	Drug	0.000706957545468489
POTEF	Bindarit	Drug	0.0008897222059650974
POTEF	Dimethyl Sulfoxide	Drug	0.0009956921852751067
POTEF	Pan-AKT Kinase Inhibitor GSK690693	Drug	0.0011526796850981071
POTEF	paraform	Drug	0.0012538204921142412
POTEF	Serum Albumin, Bovine	Drug	0.0018003560353076033
POTEF	trimethyltin chloride	Drug	0.0019087836958684389
POTEF	L-Leucyl-L-Leucine Methyl Ester	Drug	0.0019432060753452975
POTEF	Recombinant 70-kD Heat-Shock Protein	Drug	0.0020084100149214993
POTEF	L 158809	Drug	0.0020235432505973784
POTEF	Cycloheximide	Drug	0.0028594576981134123
POTEF	leptomycin B	Drug	0.003056994020123213
POTEF	Saline	Drug	0.0036134639849011866
POTEF	Eosine Yellowish-(YS)	Drug	0.004036109539205734
POTEF	safranal	Drug	0.004167627829663205
POTEF	Palmitic Acid	Drug	0.005136918328308005
POTEF	Nocodazole	Drug	0.005921902365482491
POTEF	N-methyladenosine	Drug	0.006311685006154247
POTEF	6-Aminonicotinamide	Drug	0.006400029000322461
POTEF	Monoclonal Antibody L6	Drug	0.006669009366512834
POTEF	Glycerylphosphorylcholine	Drug	0.0067126945512476326
POTEF	Ammonium Lauryl Sulfate	Drug	0.006997939649048854
POTEF	bicinchoninic acid	Drug	0.007113384923902747
POTEF	27-Hydroxycholesterol	Drug	0.007253951216545717
POTEF	oxymatrine	Drug	0.0075001276281277925
POTEF	Ethidium	Drug	0.007960134584265071
POTEF	Iproplatin	Drug	0.008188668281067873
POTEF	asparaginylendopeptidase	Drug	0.00825183734933199
POTEF	Recombinant Interleukin-1-beta	Drug	0.00871582912818605
POTEF	trigonelline	Drug	0.00882885232002995
POTEF	Nicotine Inhaler	Drug	0.00904114165998403
POTEF	7-Aminoactinomycin D	Drug	0.009076540196753434
POTEF	triphenyltetrazolium	Drug	0.009262891415197028
POTEF	hexadecanal	Drug	0.009498569038328802
POTEF	antibiotic G 418	Drug	0.009507759710025756
POTEF	Glutathione	Drug	0.009548060865424503
POTEF	proline dipeptidase	Drug	0.009974924063052481
POTEF	Fluorescein-5-isothiocyanate	Drug	0.010298817540664014
POTEF	Swainsonine	Drug	0.010377844310035663
POTEF	Formaldehyde	Drug	0.010540994621929095
POTEF	Cidofovir	Drug	0.010977154476482698
POTEF	Thyroglobulin	Drug	0.011274860385110606
POTEF	MOMP Regimen	Drug	0.011423610734504834
POTEF	Proteasome Inhibitor MG-132	Drug	0.011940773850711872
POTEF	Gamma-Aminobutyric Acid	Drug	0.012182919572273567
POTEF	Agmatine	Drug	0.012306270080644386
POTEF	isopentyl alcohol	Drug	0.012449685931026775
POTEF	Benomyl	Drug	0.012736754091109524
POTEF	Epidermal Growth Factor	Drug	0.012739957790049501
POTEF	1-(2-(dodecyloxy)ethyl)pyrrolidine hydrochloride	Drug	0.013383380415364103
POTEF	Hydroxychloroquine	Drug	0.013840004624517725
POTEF	Paraffin	Drug	0.014769055110513435
POTEF	1,2-dielaidoylphosphatidylethanolamine	Drug	0.015008476275343454
POTEF	Acetyl Coenzyme A	Drug	0.015247265658836221
POTEF	Doxycycline	Drug	0.015642642253692426
POTEF	Tyrosine	Drug	0.016124843007925285
POTEF	MUC-1 Antigen	Drug	0.01652178496078345
POTEF	Adenosine Triphosphate	Drug	0.016612414906184605
POTEF	lysophosphatidic acid	Drug	0.016630813710358627
POTEF	Allogeneic Natural Killer Cell Line NK-92	Drug	0.017020042651589563
POTEF	Polysorbates	Drug	0.017048547082634577
POTEF	aristolochic acid I	Drug	0.017178222597262743
POTEF	Recombinant Interleukin-1-alpha	Drug	0.017414038768651895
POTEF	Recombinant Amphiregulin	Drug	0.018593860444215158
POTEF	lactacystin	Drug	0.018704009875445248
POTEF	Tunicamycin	Drug	0.019352066845563013
POTEF	Afimoxifene	Drug	0.02096596519975323
POTEF	2-Aminopurine	Drug	0.02116356237540516
POTEF	Dactinomycin	Drug	0.021635053770166557
POTEF	Fumonisin B1	Drug	0.021794374399078626
POTEF	Tetanus Toxoid Helper Peptide	Drug	0.022455620537806278
POTEF	Carmine	Drug	0.022699880032953024
POTEF	coomassie Brilliant Blue	Drug	0.022911188124445814
