Selection	Association Name	Association Type	Significance
TP53	Rebemadlin	Drug	0.000004222984579519934
TP53	pifithrin	Drug	0.000006327387060734776
TP53	Contusugene Ladenovec	Drug	0.000012914085476732946
TP53	MDM2 Inhibitor	Drug	0.000013935081085668564
TP53	2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one	Drug	0.000024116729944711474
TP53	Eprenetapopt	Drug	0.000029538308474813626
TP53	Synthetic Human Papillomavirus 16 E6 Peptide	Drug	0.000038364558970475043
TP53	Cisplatin	Drug	0.000040380932001071896
TP53	CP 31398	Drug	0.00004781658366677413
TP53	Doxorubicin	Drug	0.00005260978032697852
TP53	Epidermal Growth Factor	Drug	0.000060384479367201244
TP53	Idasanutlin	Drug	0.00006931878251282892
TP53	Etoposide	Drug	0.00008795213734672898
TP53	Paraffin	Drug	0.00010154796260481233
TP53	Lontucirev	Drug	0.00010404621961375838
TP53	Recombinant Adenovirus-p53 SCH-58500	Drug	0.00011466125599982726
TP53	Recombinant Adenovirus Encoding p53	Drug	0.0001201601845190223
TP53	Venetoclax	Drug	0.00014353369280482823
TP53	Fluorouracil	Drug	0.0001486058238359027
TP53	Annexin A5	Drug	0.000153161560462221
TP53	Camptothecin	Drug	0.0001715723684644727
TP53	p53-HDM2 Interaction Inhibitor MI-773	Drug	0.00017858522119509274
TP53	Paclitaxel	Drug	0.00018545741207934464
TP53	7-Hydroxystaurosporine	Drug	0.0001941206839081474
TP53	Navtemadlin	Drug	0.00020133694621977648
TP53	Progesterone	Drug	0.0002062913394208631
TP53	Proteasome Inhibitor MG-132	Drug	0.0002195073566454455
TP53	Adavosertib	Drug	0.0002197044677332467
TP53	Resveratrol	Drug	0.0002334512389734999
TP53	Temozolomide	Drug	0.0002335802060240171
TP53	Recombinant Fas Ligand	Drug	0.00023541236433187644
TP53	Recombinant 70-kD Heat-Shock Protein	Drug	0.00024530873267052144
TP53	Sulanemadlin	Drug	0.00024846302681481587
TP53	Acetylcysteine	Drug	0.0002516907786618103
TP53	Tetranitromethane	Drug	0.00025265831427282245
TP53	Milademetan	Drug	0.0002619353851569813
TP53	tenovin-1	Drug	0.0002638192000597272
TP53	Adenovirus Vector	Drug	0.00026745800168863023
TP53	Chk1 Inhibitor	Drug	0.00027310152214550585
TP53	Ibrutinib	Drug	0.00028801711723065666
TP53	Tumor Necrosis Factor Ligand Superfamily Member 10	Drug	0.00028889325916699556
TP53	Glutathione	Drug	0.00029222032605343516
TP53	Decitabine	Drug	0.000293020212473173
TP53	Siremadlin	Drug	0.00029819067490366306
TP53	Serdemetan	Drug	0.0003172559791539541
TP53	Pidnarulex	Drug	0.0003245796836307634
TP53	Alrizomadlin	Drug	0.0003378920763164886
TP53	Aflatoxin B1	Drug	0.0003522127126410396
TP53	Sincalide	Drug	0.00037597620739570817
TP53	Fludarabine	Drug	0.0003768084785067319
TP53	Bromodeoxyuridine	Drug	0.00038326305880323263
TP53	Azacitidine	Drug	0.0003858782292021442
TP53	Sirolimus	Drug	0.00039476089141033186
TP53	Propidium Iodide	Drug	0.00040710005790746737
TP53	Modified Vaccinia Virus Ankara Vaccine Expressing p53	Drug	0.00041353791807030067
TP53	Dulanermin	Drug	0.00041491248735795805
TP53	Vorinostat	Drug	0.0004226976950051343
TP53	isocitric acid	Drug	0.00042423070366572995
TP53	Transferrin Receptor-Targeted Liposomal p53 cDNA	Drug	0.00042796996456136816
TP53	MDM2 Inhibitor BI 907828	Drug	0.00042796996456136816
TP53	Curcumin	Drug	0.00044051181788342124
TP53	DAPI	Drug	0.0004406389015387887
TP53	Iodide	Drug	0.00044612363985274884
TP53	Chemoimmunotherapy	Drug	0.00044858109372533666
TP53	8-Hydroxy-2'-deoxyguanosine	Drug	0.000452965352368475
TP53	Recombinant Tumor Necrosis Factor Family Protein	Drug	0.00045359040024238554
TP53	Tyrosine	Drug	0.00045524227692434225
TP53	Protein E7, Human Papillomavirus Type 16	Drug	0.0004560923084201352
TP53	Topotecan	Drug	0.00046387018440680413
TP53	Gemcitabine	Drug	0.00046730573197163245
TP53	Azurin:50-77 Cell Penetrating Peptide p28	Drug	0.00047588403308604523
TP53	Trichostatin A	Drug	0.00047678783117787864
TP53	Bortezomib	Drug	0.0004918549518541391
TP53	Roscovitine	Drug	0.0004971412136191042
TP53	Benzo(a)pyrene	Drug	0.0004998048963048025
TP53	FACT Complex-targeting Curaxin CBL0137	Drug	0.0005130594341457817
TP53	pyrazolanthrone	Drug	0.000518664507827223
TP53	Iproplatin	Drug	0.0005244391196155155
TP53	leptomycin B	Drug	0.0005300465068877059
TP53	Quercetin	Drug	0.0005314253688964298
TP53	Proline	Drug	0.0005422002467402416
TP53	Oxaliplatin	Drug	0.0005868502787658246
TP53	Arsenic Trioxide	Drug	0.0005984150369687834
TP53	BCL-2 Inhibitor	Drug	0.000609911275626623
TP53	Selinexor	Drug	0.0006106900602232694
TP53	Diethylnitrosamine	Drug	0.0006268124703327716
TP53	Recombinant Interleukin-6	Drug	0.0006374650859180316
TP53	Luteolin	Drug	0.0006453295449216885
TP53	Staurosporine	Drug	0.0006697654479897668
TP53	Pralatrexate	Drug	0.0006729792263385388
TP53	5,5',6,6'-tetrachloro-1,1',3,3'-tetraethylbenzimidazolocarbocyanine	Drug	0.0006735620428317279
TP53	Irinotecan	Drug	0.0006748213012735201
TP53	HDM2-binding Peptide PNC-27	Drug	0.0006799129711002965
TP53	Alvocidib	Drug	0.00070723403689364
TP53	Idelalisib	Drug	0.0007257822128432339
TP53	Mutant p53 Activator COTI-2	Drug	0.0007361010602810583
TP53	Bisbenzimidazole	Drug	0.0007396382220390085
TP53	Alisertib	Drug	0.0007504743411460604
TP53	Olaparib	Drug	0.0007524978526677682
TP53	P53-Synthetic Long Peptides Vaccine	Drug	0.0007602572745237769
TP53	Trypan Blue	Drug	0.0007715789668001963
TP53	Adezmapimod	Drug	0.0007927788073303643
TP53	Carboplatin	Drug	0.0007945350855755257
TP53	aristolochic acid I	Drug	0.0008145956200377737
TP53	Lysine	Drug	0.0008183516052949978
TP53	CA19-9 Antigen	Drug	0.0008208998025425666
TP53	Diminazene	Drug	0.0008252084052588714
TP53	HSP90 Inhibitor	Drug	0.0008362924189243767
TP53	Kaempferol	Drug	0.0008388568979527951
TP53	Magrolimab	Drug	0.0008400507773245376
TP53	Hydrogen Peroxide	Drug	0.0008524279059981126
TP53	Checkpoint Kinase Inhibitor AZD7762	Drug	0.0008753499950353653
TP53	Timonacic	Drug	0.0008899404521137002
TP53	bisbenzimide ethoxide trihydrochloride	Drug	0.000890281200676686
TP53	Rhodacyanine Analog MKT-077	Drug	0.0009011347739616013
TP53	PI3K/BET Inhibitor LY294002	Drug	0.0009055128517515129
TP53	oridonin	Drug	0.0009388576241434065
TP53	p53/HDM2 Interaction Inhibitor CGM097	Drug	0.0009517681948823184
TP53	ATR Inhibitor	Drug	0.0010074729878590094
TP53	MDM2 Antagonist RO6839921	Drug	0.00101367639344815
TP53	Retaspimycin	Drug	0.0010140909992991454
TP53	CA-125 Antigen	Drug	0.0010158749871489539
TP53	Tamoxifen	Drug	0.001019324320773563
TP53	Docetaxel	Drug	0.001030641903710355
TP53	Bleomycin	Drug	0.0010459947262418331
TP53	Thymidine	Drug	0.0010563811164888872
TP53	bathocuproine	Drug	0.0010634619486739644
TP53	Nocodazole	Drug	0.001064820265123574
TP53	Wortmannin	Drug	0.001076132919852975
TP53	3,4-Methylenedioxyamphetamine	Drug	0.0010850457165755838
TP53	lactacystin	Drug	0.001092534425202767
TP53	alachlor	Drug	0.0011041633961578394
TP53	O-(6)-methylguanine	Drug	0.0011071913245088336
TP53	Obinutuzumab	Drug	0.001116260350275932
TP53	thiazolyl blue	Drug	0.0011605876702491084
TP53	Prolinedithiocarbamate	Drug	0.0011611034998042162
TP53	BH3 Mimetic ABT-737	Drug	0.0011827576722435395
TP53	Deoxycytidine	Drug	0.001189861273817869
TP53	Vidarabine	Drug	0.001209987806743062
