"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","genes"
"GO:1990226","histone methyltransferase binding","2/22","15/18496",0.000140484524033577,0.0129936372197802,0.00789087280553455,"CBX3/CBX1",2,"CBX3, CBX1"
"GO:0001221","transcription coregulator binding","3/22","112/18496",0.000306067791863097,0.0129936372197802,0.00789087280553455,"CBX3/HIF1A/EZH2",3,"CBX3, HIF1A, EZH2"
"GO:0031490","chromatin DNA binding","3/22","120/18496",0.000374816458262891,0.0129936372197802,0.00789087280553455,"EZH2/MYOD1/ACTN4",3,"EZH2, MYOD1, ACTN4"
"GO:0016922","nuclear receptor binding","3/22","137/18496",0.000552226128020801,0.0137241319165969,0.00833449306675924,"HIF1A/MYOD1/ACTN4",3,"HIF1A, MYOD1, ACTN4"
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","4/22","344/18496",0.000659814034451773,0.0137241319165969,0.00833449306675924,"HIF1A/CDKN2A/MYOD1/ACTN4",4,"HIF1A, CDKN2A, MYOD1, ACTN4"
"GO:0016860","intramolecular oxidoreductase activity","2/22","49/18496",0.00153536904576591,0.0266130634599424,0.0161617794291148,"TPI1/PDIA6",2,"TPI1, PDIA6"
"GO:0140297","DNA-binding transcription factor binding","4/22","477/18496",0.00220898892148576,0.0288319985343473,0.0175093108508182,"HIF1A/CDKN2A/MYOD1/ACTN4",4,"HIF1A, CDKN2A, MYOD1, ACTN4"
"GO:0070888","E-box binding","2/22","59/18496",0.00221784604110364,0.0288319985343473,0.0175093108508182,"HIF1A/MYOD1",2,"HIF1A, MYOD1"
"GO:1990841","promoter-specific chromatin binding","2/22","66/18496",0.0027664497352699,0.0319678636075633,0.0194136823527712,"EZH2/MYOD1",2,"EZH2, MYOD1"
"GO:0035064","methylated histone binding","2/22","80/18496",0.00403471759106421,0.0400324014991054,0.0243111749994567,"CBX3/CBX1",2,"CBX3, CBX1"
