"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-373760","L1CAM interactions","8/65","119/11009",4.43972631405777e-07,0.000231753713593816,0.000168709599934195,"TUBB6/MAP2K2/MAP2K1/EZR/EGFR/DNM2/CLTA/AP2B1",8
"R-HSA-190828","Gap junction trafficking","5/65","47/11009",7.77396575228266e-06,0.0012497497522299,0.000909779513117552,"TUBB6/MYO6/DNM2/GJD3/CLTA",5
"R-HSA-437239","Recycling pathway of L1","5/65","47/11009",7.77396575228266e-06,0.0012497497522299,0.000909779513117552,"TUBB6/EZR/DNM2/CLTA/AP2B1",5
"R-HSA-157858","Gap junction trafficking and regulation","5/65","49/11009",9.57662645386896e-06,0.0012497497522299,0.000909779513117552,"TUBB6/MYO6/DNM2/GJD3/CLTA",5
"R-HSA-190873","Gap junction degradation","3/65","12/11009",4.16098737651373e-05,0.00401676992735301,0.00292408538772824,"MYO6/DNM2/CLTA",3
"R-HSA-5210891","Uptake and function of anthrax toxins","3/65","13/11009",5.38647308265729e-05,0.00401676992735301,0.00292408538772824,"MAP2K3/MAP2K2/MAP2K1",3
"R-HSA-8847993","ERBB2 Activates PTK6 Signaling","3/65","13/11009",5.38647308265729e-05,0.00401676992735301,0.00292408538772824,"ERBB4/ERBB2/EGFR",3
"R-HSA-177504","Retrograde neurotrophin signalling","3/65","14/11009",6.82660824951681e-05,0.00445436188280972,0.00324263891852049,"DNM2/CLTA/AP2B1",3
"R-HSA-6785631","ERBB2 Regulates Cell Motility","3/65","15/11009",8.49729165795891e-05,0.00492842916161617,0.00358774536669376,"ERBB4/ERBB2/EGFR",3
"R-HSA-1963640","GRB2 events in ERBB2 signaling","3/65","16/11009",0.000104141320696264,0.00494197903667724,0.00359760926041638,"ERBB4/ERBB2/EGFR",3
