#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
261447	51086	9049	119276	114511	-	-	TNNI3K	AIP	CARK|CCDD	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	Two-hybrid	physical	Zhao Y (2003)	PUBMED:12721663	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q59H18	-	NP_057062	O00170	-	NP_001289889|NP_001289888|NP_003968	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275244	196	9049	106699	114511	-	-	AHR	AIP	bHLHe76	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	Two-hybrid	physical	Carver LA (1997)	PUBMED:9111057	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P35869	A0A024R9Z8	NP_001612	O00170	-	NP_001289889|NP_001289888|NP_003968	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275247	196	9049	106699	114511	-	-	AHR	AIP	bHLHe76	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	Reconstituted Complex	physical	Carver LA (1997)	PUBMED:9111057	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P35869	A0A024R9Z8	NP_001612	O00170	-	NP_001289889|NP_001289888|NP_003968	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282821	405	9049	106898	114511	-	-	ARNT	AIP	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	Reconstituted Complex	physical	Kazlauskas A (2001)	PUBMED:11259606	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P27540	A8K6P0|Q53F30|B0AZM1	NP_001337153|NP_001337155|NP_001659|NP_001337154|NP_001184254|NP_848514|NP_001272964|NP_001272965	O00170	-	NP_001289889|NP_001289888|NP_003968	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282860	196	9049	106699	114511	-	-	AHR	AIP	bHLHe76	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	Reconstituted Complex	physical	Carver LA (1998)	PUBMED:9837941	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P35869	A0A024R9Z8	NP_001612	O00170	-	NP_001289889|NP_001289888|NP_003968	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287470	9049	196	114511	106699	-	-	AIP	AHR	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	bHLHe76	Affinity Capture-Western	physical	Petrulis JR (2000)	PUBMED:10986286	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00170	-	NP_001289889|NP_001289888|NP_003968	P35869	A0A024R9Z8	NP_001612	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316628	196	9049	106699	114511	-	-	AHR	AIP	bHLHe76	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	Affinity Capture-Western	physical	Ma Q (1997)	PUBMED:9083006	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P35869	A0A024R9Z8	NP_001612	O00170	-	NP_001289889|NP_001289888|NP_003968	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316629	196	9049	106699	114511	-	-	AHR	AIP	bHLHe76	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	Two-hybrid	physical	Ma Q (1997)	PUBMED:9083006	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P35869	A0A024R9Z8	NP_001612	O00170	-	NP_001289889|NP_001289888|NP_003968	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316630	196	9049	106699	114511	-	-	AHR	AIP	bHLHe76	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	Reconstituted Complex	physical	Ma Q (1997)	PUBMED:9083006	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P35869	A0A024R9Z8	NP_001612	O00170	-	NP_001289889|NP_001289888|NP_003968	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316641	5465	9049	111461	114511	SC22CB-5E3.5	-	PPARA	AIP	NR1C1|PPAR|PPARalpha|hPPAR	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	Affinity Capture-Western	physical	Sumanasekera WK (2003)	PUBMED:12482853	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q07869	F1D8S4	NP_005027|NP_001001928	O00170	-	NP_001289889|NP_001289888|NP_003968	-	-	-	-	-	-	Homo sapiens	Homo sapiens
